uid			1/[all]
6334000	0/6	1/24	0/5	1/9
6497000	1/24	0/1	3/14	1/21
6780500	1/8	0/4	1/13	3/46
8111500	1/51	0/46	3/121	2/50
9463750	0/7	0/0	0/47	0/97
10297000	3/47	3/51	0/18	6/47
10713250	3/35	1/27	0/25	1/18
11313000	1/67	7/223	6/463	1/152
12004000	3/15	4/35	1/48	4/21
12377250	1/61	2/66	13/191	6/79
1724250	8/138	3/91	0/91	0/45
2322750	1/14	0/4	0/2	0/2
3661500	0/0	0/12	0/0	0/7
4035250	1/19	0/10	5/44	0/25
4193750	1/15	0/2	1/27	0/18
4852000	1/44	1/67	0/54	0/29
5539250	0/0	0/0	0/0	8/53
5697750	0/4	3/9	3/16	0/1
5987000	0/0	0/13	0/1	0/12
6272000	0/0	0/0	0/5	13/252
6998500	7/126	1/46	0/132	1/56
7116750	8/40	0/8	4/65	0/13
7323750	1/7	1/14	0/3	1/13
7483500	0/14	0/20	0/44	0/39
8617500	0/9	0/64	3/72	10/106
10234000	0/0	6/287	4/143	21/347
1074750	9/203	5/219	6/233	2/128
10976250	3/42	1/24	2/38	0/23
11283500	0/9	1/2	1/31	1/24
1319000	0/0	0/59	0/8	3/31
154750	0/1	0/7	0/12	0/16
1727500	0/7	0/16	5/21	5/42
3282250	2/17	2/13	0/18	2/25
4501000	0/0	0/0	0/1	0/0
528250	0/0	2/49	1/31	6/38
5846250	2/53	3/18	0/14	0/8
69500	0/0	2/70	3/202	3/364
7218000	3/147	7/144	4/75	5/136
7588000	0/46	0/27	10/123	1/114
8555500	0/0	1/25	9/100	1/27
861250	1/49	0/20	0/9	0/8
10578000	1/20	0/3	2/30	4/45
10979500	0/0	0/0	0/0	0/1
11220500	0/0	0/1	1/13	1/10
11590500	0/102	1/48	3/35	0/52
1499750	0/5	0/9	0/23	0/15
1629250	0/22	0/28	1/64	9/120
2187500	0/5	4/46	2/99	1/39
3288750	0/0	0/0	0/0	0/13
3625250	2/19	4/28	4/39	1/18
3861500	3/18	2/19	4/37	0/6
3913250	0/51	3/81	26/282	2/37
4025000	1/9	0/1	0/3	0/1
4073250	0/4	0/6	1/26	5/31
5121750	0/0	0/0	0/0	0/13
6099250	0/64	0/62	2/73	5/121
620500	1/24	2/30	3/36	3/32
8123500	0/11	0/8	0/13	1/47
10628500	27/120	26/235	9/118	8/141
11535250	0/79	2/54	2/73	1/29
11616250	1/20	0/1	0/0	0/1
12061000	0/2	1/12	1/6	0/14
12417500	8/8	6/13	3/3	9/9
1530250	0/0	0/0	0/0	0/2
2910750	0/0	0/0	0/4	0/12
309750	1/3	0/2	0/2	4/17
3272000	0/1	0/4	0/2	0/0
3644250	6/152	4/126	3/50	6/94
4620000	2/12	0/4	0/4	0/1
5011500	1/200	3/73	5/114	5/220
5226250	2/37	2/57	5/67	1/68
5999000	0/0	0/0	3/7	3/4
6250250	0/9	0/2	0/0	0/4
6412250	0/9	0/2	0/17	4/80
6700250	0/16	0/55	2/72	0/44
6897000	0/6	0/77	1/70	3/54
725000	0/13	0/51	0/40	2/98
854250	2/59	2/59	0/24	0/14
1086750	0/111	0/30	10/340	6/66
11169500	0/82	3/120	2/91	1/136
11957000	1/83	1/35	4/94	4/81
3249250	4/40	1/10	0/61	1/24
4063000	1/75	1/14	0/4	1/16
4967250	4/125	3/18	4/18	1/6
5693000	0/2	0/12	1/46	1/49
6751750	2/102	2/49	0/47	0/34
7322250	0/0	0/0	0/0	2/69
8745250	0/31	2/44	0/58	0/19
9512750	0/9	0/1	6/101	4/129
9802000	0/3	0/41	2/33	11/117
11601500	1/73	2/201	3/117	0/9
3215500	0/34	0/12	0/0	0/19
3344750	0/58	9/99	14/169	7/103
3954500	3/93	0/11	0/12	0/79
4195500	6/120	2/40	2/11	2/26
425500	0/0	1/11	1/8	0/6
4852500	12/69	9/82	1/59	0/15
5261000	7/46	0/34	1/41	2/27
6150750	0/4	0/21	3/33	4/87
6155250	3/83	4/73	1/26	4/52
6515500	0/32	1/37	0/23	0/61
7375000	1/42	0/14	0/10	4/44
8216500	3/75	1/23	20/172	4/102
8845250	11/384	0/168	5/236	22/414
9694750	3/117	1/101	0/60	0/81
11300000	1/109	0/7	2/24	2/9
11579750	0/12	0/29	0/70	5/78
11701500	0/18	0/88	2/269	3/158
11751000	0/1	0/8	0/2	0/0
1579250	4/69	6/61	2/71	2/96
1793250	1/40	0/37	1/21	1/59
203750	0/4	0/0	0/0	0/2
2797750	0/5	3/19	1/42	0/4
282500	2/6	3/6	3/40	1/9
3895750	0/3	0/2	1/15	2/24
4907500	0/3	1/24	3/44	6/20
5440750	1/3	2/27	6/85	13/199
6458000	0/0	0/0	1/2	0/0
7810250	0/5	0/3	2/26	0/9
8280500	0/2	1/3	0/0	5/25
8573000	0/65	5/82	0/65	3/39
861750	1/4	2/8	0/10	1/34
8701250	0/33	0/89	0/25	1/16
9055750	0/2	1/17	0/0	0/8
1063000	0/20	0/9	0/13	11/124
11225500	5/239	3/69	0/53	0/40
1561250	2/104	0/54	2/132	5/100
2975500	2/107	3/110	14/339	0/62
3350250	0/13	6/143	0/60	13/142
418500	0/0	2/11	0/16	1/1
4606000	0/37	0/2	0/13	0/0
5865750	2/18	0/3	8/305	8/531
6140500	0/3	0/3	0/19	0/1
6634500	0/0	0/0	0/1	1/15
7785250	0/10	0/0	0/18	1/27
7898750	0/3	0/5	3/96	0/33
8060000	0/4	0/0	0/0	2/43
8385000	4/33	4/68	10/43	0/0
11503250	0/55	0/35	1/56	0/2
11613500	0/37	0/35	0/29	0/13
11747250	3/125	3/90	1/71	0/122
12386500	0/0	2/16	0/2	0/1
3031750	2/123	8/468	7/436	8/316
3114000	0/0	0/13	0/27	5/160
405000	0/14	1/18	0/7	0/2
4256000	3/58	4/57	1/22	2/56
4880250	1/48	1/39	1/40	0/17
5354000	6/107	1/54	0/41	1/38
563500	2/106	1/77	0/80	2/56
5642000	4/166	4/357	2/207	1/178
6412750	0/108	1/64	1/46	3/43
6572500	1/12	0/2	0/9	1/9
10052000	1/12	3/101	4/96	5/31
11397250	0/1	0/4	0/0	0/14
11761750	3/60	0/17	1/49	0/11
1838000	1/4	0/4	0/4	0/3
3903500	0/0	0/0	0/0	3/108
5292000	6/34	1/34	3/31	0/16
5407750	0/0	3/126	3/126	1/65
5742000	2/105	11/214	5/74	2/94
5952250	0/0	0/2	4/40	1/33
6258500	0/30	0/31	0/20	2/77
6433000	0/11	1/28	0/6	0/2
7149500	0/0	0/1	1/28	0/0
7450000	5/52	3/78	2/65	0/7
8051750	0/16	1/57	1/119	0/165
8100250	2/36	0/20	0/2	0/0
9069000	4/93	8/106	6/144	10/143
9438000	0/2	0/1	0/50	0/12
10312750	2/72	3/21	11/148	0/128
10477000	0/8	0/1	0/0	0/1
10521000	3/187	0/123	4/101	2/107
10715500	0/0	0/0	0/15	0/1
1525000	2/30	1/118	0/25	4/260
1855750	0/0	0/0	0/1	0/14
236000	0/0	0/14	2/40	2/60
239250	4/55	1/20	2/44	3/46
4037500	0/1	0/0	0/1	1/31
5059000	0/0	4/18	2/48	0/11
6358500	0/1	1/4	0/1	0/3
6694750	2/89	5/312	9/306	3/89
847750	0/4	0/1	0/23	5/106
